freq,rx,tx,user,band
5.437,5.437,ไม่มี,กระทรวงเกษตรและสหกรณ์,HF
5.44,5.44,5.44,กองทัพอากาศ,HF
5.449,5.449,ไม่มี,กรมอุตุนิยมวิทยา,HF
5.456,5.456,0.0,ทหารสื่อสาร,HF
5.48,5.48,5.48,กองทัพอากาศ,HF
5.526,5.526,5.526,กองทัพอากาศ,HF
5.533,5.533,5.533,กองทัพอากาศ,HF
5.596,5.596,5.596,กองทัพอากาศ,HF
5.684,5.684,5.684,กองทัพอากาศ,HF
5.693,5.693,5.693,กองทัพอากาศ,HF
5.6955,5.6955,5.6955,กองทัพอากาศ,HF
5.7105,5.7105,5.7105,กองทัพอากาศ,HF
5.718,5.718,5.718,กองทัพอากาศ,HF
5.723,5.723,5.723,กองทัพอากาศ,HF
5.7255,5.7255,5.7255,กองทัพอากาศ,HF
5.726,5.726,5.726,กองทัพอากาศ,HF
5.732,5.732,0.0,ทหารสื่อสาร,HF
5.735,5.735,5.735,กองทัพอากาศ,HF
5.75,5.75,0.0,ทหารสื่อสาร,HF
5.76,5.76,5.76,กองทัพอากาศ,HF
5.762,5.762,0.0,ทหารสื่อสาร,HF
5.8,5.8,0.0,ทหารสื่อสาร,HF
5.81,5.81,0.0,ทหารสื่อสาร,HF
5.8445,5.8445,0.0,ทหารสื่อสาร,HF
5.85,5.85,0.0,ทหารสื่อสาร,HF
5.86,5.86,5.86,กองทัพอากาศ,HF
5.8685,5.8685,0.0,ทหารสื่อสาร,HF
5.93,5.93,ไม่มี,ทหารสื่อสาร,HF
5.945,5.945,5.945,กองทัพอากาศ,HF
5.99,5.99,ไม่มี,ทหารสื่อสาร,HF
5.997,5.997,ไม่มี,ทหารสื่อสาร,HF
6.206,6.206,6.507,บริษัท กสท โทรคมนาคม จำกัด (มหาชน),HF
6.212,6.212,6.513,บริษัท กสท โทรคมนาคม จำกัด (มหาชน),HF
6.215,6.215,6.516,การท่าเรือแห่งประเทศไทย,HF
6.224,6.224,ไม่มี,สมาคมประมงแห่งประเทศไทย,HF
6.268,6.268,ไม่มี,ตำรวจ,HF
6.312,6.312,ไม่มี,การท่าเรือแห่งประเทศไทย,HF
6.315,6.315,6.315,ตำรวจ,HF
6.325,6.325,6.325,ทหารสื่อสาร,HF
6.386,6.386,ไม่มี,กรมประมง,HF
6.455,6.455,6.455,บริษัท ปตท.สผ. อินเตอร์เนชั่นแนล จำกัด,HF
6.507,6.507,6.206,บริษัท กสท โทรคมนาคม จำกัด (มหาชน),HF
6.51,6.51,ไม่มี,ทหารสื่อสาร,HF
6.513,6.513,6.212,บริษัท กสท โทรคมนาคม จำกัด (มหาชน),HF
6.516,6.516,6.215,บริษัท กสท โทรคมนาคม จำกัด (มหาชน),HF
6.526,6.526,6.526,กองทัพอากาศ,HF
6.568,6.568,6.568,กองทัพอากาศ,HF
6.589,6.589,6.589,กองทัพอากาศ,HF
6.59,6.59,6.59,กองทัพอากาศ,HF
6.617,6.617,6.617,กองทัพอากาศ,HF
